epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18672.051203,18672.050781,23229.332031,18672.050781,23229.332031,0.000000,8.384,2025-11-22T14:23:53+00:00,,
1,val,18585.087831,18600.570312,23195.623047,18600.570312,23195.623047,0.000000,,2025-11-22T14:23:53+00:00,18585.087831,18600.570312
2,train,18516.464293,18517.291016,23101.687500,18517.291016,23101.687500,0.000000,7.598,2025-11-22T14:24:00+00:00,,
2,val,18346.087536,18361.611328,22997.974609,18361.611328,22997.974609,0.000000,,2025-11-22T14:24:00+00:00,18346.087536,18361.611328
3,train,18207.040990,18208.197266,22850.208984,18208.197266,22850.208984,0.000000,7.638,2025-11-22T14:24:08+00:00,,
3,val,17961.839785,17977.457031,22677.138672,17977.457031,22677.138672,0.000000,,2025-11-22T14:24:08+00:00,17961.839785,17977.457031
4,train,17753.361780,17753.699219,22479.201172,17753.699219,22479.201172,0.000000,7.679,2025-11-22T14:24:16+00:00,,
4,val,17463.474432,17479.548828,22273.013672,17479.548828,22273.013672,0.000000,,2025-11-22T14:24:16+00:00,17463.474432,17479.548828
5,train,17167.768856,17167.939453,21994.845703,17167.939453,21994.845703,0.000000,7.701,2025-11-22T14:24:23+00:00,,
5,val,16735.692442,16751.886719,21679.824219,16751.886719,21679.824219,0.000000,,2025-11-22T14:24:23+00:00,16735.692442,16751.886719
6,train,16463.310186,16464.248047,21406.441406,16464.248047,21406.441406,0.000000,7.668,2025-11-22T14:24:31+00:00,,
6,val,16056.071674,16072.128906,21094.638672,16072.128906,21094.638672,0.000000,,2025-11-22T14:24:31+00:00,16056.071674,16072.128906
7,train,15653.897319,15655.389648,20710.230469,15655.389648,20710.230469,0.000000,7.741,2025-11-22T14:24:39+00:00,,
7,val,15302.768791,15319.050781,20388.953125,15319.050781,20388.953125,0.000000,,2025-11-22T14:24:39+00:00,15302.768791,15319.050781
8,train,14751.148709,14753.099609,19904.861328,14753.099609,19904.861328,0.000000,7.708,2025-11-22T14:24:46+00:00,,
8,val,14394.975586,14411.236328,19585.421875,14411.236328,19585.421875,0.000000,,2025-11-22T14:24:46+00:00,14394.975586,14411.236328
9,train,13768.204213,13769.721680,18996.345703,13769.721680,18996.345703,0.000000,7.747,2025-11-22T14:24:54+00:00,,
9,val,13293.585849,13308.615234,18535.730469,13308.615234,18535.730469,0.000000,,2025-11-22T14:24:54+00:00,13293.585849,13308.615234
10,train,12723.846194,12724.915039,17978.828125,12724.915039,17978.828125,0.000000,7.660,2025-11-22T14:25:02+00:00,,
10,val,12343.768081,12358.975586,17603.507812,12358.975586,17603.507812,0.000000,,2025-11-22T14:25:02+00:00,12343.768081,12358.975586
11,train,11637.402253,11639.689453,16864.099609,11639.689453,16864.099609,0.000000,7.676,2025-11-22T14:25:10+00:00,,
11,val,11220.508227,11235.626953,16388.056641,11235.626953,16388.056641,0.000000,,2025-11-22T14:25:10+00:00,11220.508227,11235.626953
12,train,10521.265419,10522.648438,15658.475586,10522.648438,15658.475586,0.000000,7.721,2025-11-22T14:25:17+00:00,,
12,val,10219.835050,10234.925781,15190.015625,10234.925781,15190.015625,0.000000,,2025-11-22T14:25:17+00:00,10219.835050,10234.925781
