[env] host=stud-000 date=Fri Nov 21 09:51:44 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_prune2_new_ds_base_point_20251120-1706/point_300_epochs_200ep_s1_20251121-095142
[model] in_dim=4772 hidden=[512, 512, 256] head=point params=2,840,577
[train] host=stud-000 device=cuda head=point epochs=300
[epoch 50] train_loss=1734.3065 val_loss=2595.8131 val_mae_orig=2593.9482 obj(val_mae_orig)=2593.9482
[epoch 51] train_loss=1722.9256 val_loss=2621.8587 val_mae_orig=2620.0127 obj(val_mae_orig)=2620.0127
[epoch 52] train_loss=1723.7373 val_loss=2584.9495 val_mae_orig=2582.8413 obj(val_mae_orig)=2582.8413
[epoch 53] train_loss=1697.4417 val_loss=2586.9967 val_mae_orig=2585.3362 obj(val_mae_orig)=2585.3362
[epoch 54] train_loss=1695.8101 val_loss=2612.0144 val_mae_orig=2609.1892 obj(val_mae_orig)=2609.1892
[epoch 55] train_loss=1696.7182 val_loss=2577.9729 val_mae_orig=2575.3718 obj(val_mae_orig)=2575.3718
[epoch 56] train_loss=1686.3216 val_loss=2623.6151 val_mae_orig=2621.1335 obj(val_mae_orig)=2621.1335
[epoch 57] train_loss=1687.1345 val_loss=2599.5113 val_mae_orig=2596.8772 obj(val_mae_orig)=2596.8772
[epoch 58] train_loss=1667.9299 val_loss=2578.8126 val_mae_orig=2576.5559 obj(val_mae_orig)=2576.5559
[epoch 59] train_loss=1666.3922 val_loss=2560.8253 val_mae_orig=2558.1885 obj(val_mae_orig)=2558.1885
[epoch 60] train_loss=1659.2058 val_loss=2570.6060 val_mae_orig=2568.3499 obj(val_mae_orig)=2568.3499
[epoch 61] train_loss=1653.7592 val_loss=2586.1245 val_mae_orig=2583.5161 obj(val_mae_orig)=2583.5161
[epoch 62] train_loss=1653.0922 val_loss=2576.9825 val_mae_orig=2575.2734 obj(val_mae_orig)=2575.2734
[epoch 63] train_loss=1649.2703 val_loss=2558.7767 val_mae_orig=2556.7708 obj(val_mae_orig)=2556.7708
