epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18623.309859,18622.890625,23191.255859,18622.890625,23191.255859,0.000000,8.417,2025-11-22T15:28:51+00:00,,
1,val,18477.814690,18492.816406,23108.052734,18492.816406,23108.052734,0.000000,,2025-11-22T15:28:51+00:00,18477.814690,18492.816406
2,train,18291.547185,18292.527344,22924.310547,18292.527344,22924.310547,0.000000,7.618,2025-11-22T15:28:59+00:00,,
2,val,18020.344401,18035.287109,22746.648438,18035.287109,22746.648438,0.000000,,2025-11-22T15:28:59+00:00,18020.344401,18035.287109
3,train,17780.441759,17780.714844,22540.361328,17780.714844,22540.361328,0.000000,7.733,2025-11-22T15:29:06+00:00,,
3,val,17391.296875,17407.039062,22290.800781,17407.039062,22290.800781,0.000000,,2025-11-22T15:29:06+00:00,17391.296875,17407.039062
