epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,15983.020998,15996.559570,20927.273438,15996.559570,20927.273438,0.000000,7.694,2025-11-22T14:15:15+00:00,,
1,val,8616.300000,8617.056641,12560.942383,8617.056641,12560.942383,0.000000,,2025-11-22T14:15:15+00:00,8616.300000,8617.056641
2,train,5432.278170,5434.994629,8589.234375,5434.994629,8589.234375,0.000000,7.299,2025-11-22T14:15:22+00:00,,
2,val,4441.982550,4442.467285,7347.379883,4442.467285,7347.379883,0.000000,,2025-11-22T14:15:22+00:00,4441.982550,4442.467285
3,train,4298.617314,4300.622559,7156.131836,4300.622559,7156.131836,0.000000,7.425,2025-11-22T14:15:30+00:00,,
3,val,4149.236542,4149.449219,7044.893066,4149.449219,7044.893066,0.000000,,2025-11-22T14:15:30+00:00,4149.236542,4149.449219
4,train,4138.956206,4139.383301,7005.055176,4139.383301,7005.055176,0.000000,7.389,2025-11-22T14:15:37+00:00,,
4,val,4055.716102,4055.971680,6971.114258,4055.971680,6971.114258,0.000000,,2025-11-22T14:15:37+00:00,4055.716102,4055.971680
5,train,4070.104868,4072.528564,6943.646484,4072.528564,6943.646484,0.000000,7.434,2025-11-22T14:15:44+00:00,,
5,val,3996.000890,3996.291504,6920.781738,3996.291504,6920.781738,0.000000,,2025-11-22T14:15:44+00:00,3996.000890,3996.291504
6,train,4016.132340,4015.976318,6890.666016,4015.976318,6890.666016,0.000000,7.442,2025-11-22T14:15:52+00:00,,
6,val,3954.727310,3954.922363,6871.103027,3954.922363,6871.103027,0.000000,,2025-11-22T14:15:52+00:00,3954.727310,3954.922363
7,train,3984.721889,3982.337646,6859.420898,3982.337646,6859.420898,0.000000,7.423,2025-11-22T14:15:59+00:00,,
7,val,3916.363499,3916.521973,6829.995117,3916.521973,6829.995117,0.000000,,2025-11-22T14:15:59+00:00,3916.363499,3916.521973
8,train,3959.521234,3961.390625,6838.805664,3961.390625,6838.805664,0.000000,7.422,2025-11-22T14:16:07+00:00,,
8,val,3889.216786,3889.477295,6809.012207,3889.477295,6809.012207,0.000000,,2025-11-22T14:16:07+00:00,3889.216786,3889.477295
9,train,3929.420537,3929.389648,6805.217285,3929.389648,6805.217285,0.000000,7.373,2025-11-22T14:16:14+00:00,,
9,val,3869.634630,3869.846924,6786.296875,3869.846924,6786.296875,0.000000,,2025-11-22T14:16:14+00:00,3869.634630,3869.846924
10,train,3901.375065,3903.285889,6778.046875,3903.285889,6778.046875,0.000000,7.407,2025-11-22T14:16:22+00:00,,
10,val,3831.112305,3831.287354,6753.595215,3831.287354,6753.595215,0.000000,,2025-11-22T14:16:22+00:00,3831.112305,3831.287354
11,train,3874.974840,3876.008789,6738.483398,3876.008789,6738.483398,0.000000,7.443,2025-11-22T14:16:29+00:00,,
11,val,3807.828876,3807.955566,6723.474121,3807.955566,6723.474121,0.000000,,2025-11-22T14:16:29+00:00,3807.828876,3807.955566
12,train,3853.425194,3853.650146,6718.095703,3853.650146,6718.095703,0.000000,7.395,2025-11-22T14:16:36+00:00,,
12,val,3777.302366,3777.437256,6681.471191,3777.437256,6681.471191,0.000000,,2025-11-22T14:16:36+00:00,3777.302366,3777.437256
13,train,3825.024494,3826.054199,6680.141113,3826.054199,6680.141113,0.000000,7.512,2025-11-22T14:16:44+00:00,,
13,val,3763.305074,3763.522217,6677.786133,3763.522217,6677.786133,0.000000,,2025-11-22T14:16:44+00:00,3763.305074,3763.522217
14,train,3802.262974,3803.854248,6656.692383,3803.854248,6656.692383,0.000000,7.444,2025-11-22T14:16:51+00:00,,
14,val,3732.240606,3732.525879,6632.123535,3732.525879,6632.123535,0.000000,,2025-11-22T14:16:51+00:00,3732.240606,3732.525879
15,train,3782.277863,3783.826904,6624.387207,3783.826904,6624.387207,0.000000,7.513,2025-11-22T14:16:59+00:00,,
15,val,3702.712057,3702.854248,6592.507324,3702.854248,6592.507324,0.000000,,2025-11-22T14:16:59+00:00,3702.712057,3702.854248
16,train,3756.380366,3757.149658,6601.349121,3757.149658,6601.349121,0.000000,7.422,2025-11-22T14:17:06+00:00,,
16,val,3704.063747,3704.266113,6596.870117,3704.266113,6596.870117,0.000000,,2025-11-22T14:17:06+00:00,3704.063747,3704.266113
