epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18672.299732,18672.300781,23229.908203,18672.300781,23229.908203,0.000000,8.172,2025-11-22T14:21:41+00:00,,
1,val,18586.683535,18602.171875,23197.941406,18602.171875,23197.941406,0.000000,,2025-11-22T14:21:41+00:00,18586.683535,18602.171875
2,train,18517.553612,18518.376953,23104.031250,18518.376953,23104.031250,0.000000,7.666,2025-11-22T14:21:49+00:00,,
2,val,18354.611624,18370.218750,23005.292969,18370.218750,23005.292969,0.000000,,2025-11-22T14:21:49+00:00,18354.611624,18370.218750
3,train,18214.161430,18215.310547,22854.406250,18215.310547,22854.406250,0.000000,7.488,2025-11-22T14:21:56+00:00,,
3,val,17958.875296,17974.712891,22676.257812,17974.712891,22676.257812,0.000000,,2025-11-22T14:21:56+00:00,17958.875296,17974.712891
4,train,17770.999002,17771.322266,22494.802734,17771.322266,22494.802734,0.000000,7.436,2025-11-22T14:22:04+00:00,,
4,val,17429.034032,17445.066406,22248.177734,17445.066406,22248.177734,0.000000,,2025-11-22T14:22:04+00:00,17429.034032,17445.066406
5,train,17196.835555,17196.990234,22022.271484,17196.990234,22022.271484,0.000000,7.561,2025-11-22T14:22:11+00:00,,
5,val,16866.984109,16883.154297,21785.933594,16883.154297,21785.933594,0.000000,,2025-11-22T14:22:11+00:00,16866.984109,16883.154297
6,train,16505.295322,16506.218750,21448.611328,16506.218750,21448.611328,0.000000,7.549,2025-11-22T14:22:19+00:00,,
6,val,16130.715317,16147.054688,21169.992188,16147.054688,21169.992188,0.000000,,2025-11-22T14:22:19+00:00,16130.715317,16147.054688
7,train,15709.252022,15710.780273,20769.820312,15710.780273,20769.820312,0.000000,7.476,2025-11-22T14:22:26+00:00,,
7,val,15306.348041,15323.216797,20437.742188,15323.216797,20437.742188,0.000000,,2025-11-22T14:22:26+00:00,15306.348041,15323.216797
8,train,14822.897216,14824.825195,19988.359375,14824.825195,19988.359375,0.000000,7.501,2025-11-22T14:22:34+00:00,,
8,val,14406.034180,14422.722656,19644.955078,14422.722656,19644.955078,0.000000,,2025-11-22T14:22:34+00:00,14406.034180,14422.722656
9,train,13862.434923,13863.916016,19108.955078,13863.916016,19108.955078,0.000000,7.501,2025-11-22T14:22:41+00:00,,
9,val,13466.096828,13482.686523,18719.115234,13482.686523,18719.115234,0.000000,,2025-11-22T14:22:41+00:00,13466.096828,13482.686523
10,train,12843.248709,12844.234375,18123.109375,12844.234375,18123.109375,0.000000,7.467,2025-11-22T14:22:49+00:00,,
10,val,12516.288559,12531.705078,17776.203125,12531.705078,17776.203125,0.000000,,2025-11-22T14:22:49+00:00,12516.288559,12531.705078
11,train,11783.120302,11785.313477,17043.843750,11785.313477,17043.843750,0.000000,7.474,2025-11-22T14:22:56+00:00,,
11,val,11346.459517,11362.397461,16517.857422,11362.397461,16517.857422,0.000000,,2025-11-22T14:22:56+00:00,11346.459517,11362.397461
12,train,10695.841973,10697.216797,15877.467773,10697.216797,15877.467773,0.000000,7.577,2025-11-22T14:23:04+00:00,,
12,val,10391.874142,10406.299805,15427.924805,10406.299805,15427.924805,0.000000,,2025-11-22T14:23:04+00:00,10391.874142,10406.299805
13,train,9597.950854,9599.912109,14639.199219,9599.912109,14639.199219,0.000000,7.639,2025-11-22T14:23:11+00:00,,
13,val,9417.700639,9432.447266,14325.121094,9432.447266,14325.121094,0.000000,,2025-11-22T14:23:11+00:00,9417.700639,9432.447266
14,train,8518.077804,8519.666992,13330.191406,8519.666992,13330.191406,0.000000,7.663,2025-11-22T14:23:19+00:00,,
14,val,8112.992750,8127.059570,12698.991211,8127.059570,12698.991211,0.000000,,2025-11-22T14:23:19+00:00,8112.992750,8127.059570
15,train,7465.357104,7465.529297,11985.657227,7465.529297,11985.657227,0.000000,7.812,2025-11-22T14:23:27+00:00,,
15,val,7242.921697,7256.586426,11456.484375,7256.586426,11456.484375,0.000000,,2025-11-22T14:23:27+00:00,7242.921697,7256.586426
16,train,6235.814227,6238.988281,10255.720703,6238.988281,10255.720703,0.000000,7.734,2025-11-22T14:23:35+00:00,,
16,val,5881.721606,5888.831543,9493.767578,5888.831543,9493.767578,0.000000,,2025-11-22T14:23:35+00:00,5881.721606,5888.831543
17,train,4771.532123,4773.375977,8184.465332,4773.375977,8184.465332,0.000000,7.692,2025-11-22T14:23:42+00:00,,
17,val,4586.409047,4592.307617,7776.085938,4592.307617,7776.085938,0.000000,,2025-11-22T14:23:42+00:00,4586.409047,4592.307617
18,train,3696.992416,3698.008057,6630.885742,3698.008057,6630.885742,0.000000,7.633,2025-11-22T14:23:50+00:00,,
18,val,3909.657811,3913.827148,6816.138672,3913.827148,6816.138672,0.000000,,2025-11-22T14:23:50+00:00,3909.657811,3913.827148
19,train,2963.557712,2964.274414,5434.290039,2964.274414,5434.290039,0.000000,7.670,2025-11-22T14:23:58+00:00,,
19,val,3075.874748,3081.023682,5705.833496,3081.023682,5705.833496,0.000000,,2025-11-22T14:23:58+00:00,3075.874748,3081.023682
20,train,2518.850482,2519.493164,4622.943848,2519.493164,4622.943848,0.000000,7.729,2025-11-22T14:24:05+00:00,,
20,val,2753.728974,2757.004639,5158.036621,2757.004639,5158.036621,0.000000,,2025-11-22T14:24:05+00:00,2753.728974,2757.004639
21,train,2284.146450,2284.308350,4161.271973,2284.308350,4161.271973,0.000000,7.713,2025-11-22T14:24:13+00:00,,
21,val,2774.365012,2777.067627,5157.351074,2777.067627,5157.351074,0.000000,,2025-11-22T14:24:13+00:00,2774.365012,2777.067627
22,train,2143.690018,2144.377930,3864.172119,2144.377930,3864.172119,0.000000,7.724,2025-11-22T14:24:21+00:00,,
22,val,2592.662538,2593.919678,4931.292969,2593.919678,4931.292969,0.000000,,2025-11-22T14:24:21+00:00,2592.662538,2593.919678
23,train,2041.810625,2042.359619,3644.352783,2042.359619,3644.352783,0.000000,7.685,2025-11-22T14:24:28+00:00,,
23,val,2532.157190,2532.099121,4764.988770,2532.099121,4764.988770,0.000000,,2025-11-22T14:24:28+00:00,2532.157190,2532.099121
24,train,1973.114933,1973.306030,3497.076416,1973.306030,3497.076416,0.000000,7.721,2025-11-22T14:24:36+00:00,,
24,val,2517.078391,2518.517334,4760.444824,2518.517334,4760.444824,0.000000,,2025-11-22T14:24:36+00:00,2517.078391,2518.517334
25,train,1904.246016,1904.470825,3366.334473,1904.470825,3366.334473,0.000000,7.772,2025-11-22T14:24:44+00:00,,
25,val,2558.005963,2560.778076,4802.519043,2560.778076,4802.519043,0.000000,,2025-11-22T14:24:44+00:00,2558.005963,2560.778076
26,train,1866.650083,1866.988525,3291.012695,1866.988525,3291.012695,0.000000,7.719,2025-11-22T14:24:52+00:00,,
26,val,2476.087935,2476.436035,4703.554688,2476.436035,4703.554688,0.000000,,2025-11-22T14:24:52+00:00,2476.087935,2476.436035
27,train,1827.386976,1827.622192,3192.711182,1827.622192,3192.711182,0.000000,7.696,2025-11-22T14:24:59+00:00,,
27,val,2439.359479,2442.575928,4633.194336,2442.575928,4633.194336,0.000000,,2025-11-22T14:24:59+00:00,2439.359479,2442.575928
28,train,1780.424777,1780.821655,3114.408203,1780.821655,3114.408203,0.000000,7.714,2025-11-22T14:25:07+00:00,,
28,val,2444.819772,2446.474854,4656.620117,2446.474854,4656.620117,0.000000,,2025-11-22T14:25:07+00:00,2444.819772,2446.474854
29,train,1757.389162,1757.368408,3056.289062,1757.368408,3056.289062,0.000000,7.786,2025-11-22T14:25:15+00:00,,
29,val,2449.502412,2451.307373,4662.336426,2451.307373,4662.336426,0.000000,,2025-11-22T14:25:15+00:00,2449.502412,2451.307373
30,train,1730.948368,1731.263916,2999.886475,1731.263916,2999.886475,0.000000,7.715,2025-11-22T14:25:23+00:00,,
30,val,2426.403209,2428.475830,4629.840820,2428.475830,4629.840820,0.000000,,2025-11-22T14:25:23+00:00,2426.403209,2428.475830
31,train,1702.612949,1702.773071,2939.385010,1702.773071,2939.385010,0.000000,7.834,2025-11-22T14:25:30+00:00,,
31,val,2457.540165,2459.565674,4631.463379,2459.565674,4631.463379,0.000000,,2025-11-22T14:25:30+00:00,2457.540165,2459.565674
32,train,1671.824675,1672.568604,2889.358643,1672.568604,2889.358643,0.000000,7.742,2025-11-22T14:25:38+00:00,,
32,val,2493.134632,2495.091797,4648.203125,2495.091797,4648.203125,0.000000,,2025-11-22T14:25:38+00:00,2493.134632,2495.091797
33,train,1650.982277,1651.326782,2840.348877,1651.326782,2840.348877,0.000000,7.799,2025-11-22T14:25:46+00:00,,
33,val,2411.607866,2414.385254,4582.553711,2414.385254,4582.553711,0.000000,,2025-11-22T14:25:46+00:00,2411.607866,2414.385254
34,train,1645.020788,1645.561401,2839.241943,1645.561401,2839.241943,0.000000,7.780,2025-11-22T14:25:54+00:00,,
34,val,2408.168908,2410.185303,4571.726074,2410.185303,4571.726074,0.000000,,2025-11-22T14:25:54+00:00,2408.168908,2410.185303
35,train,1616.389895,1616.875488,2783.677490,1616.875488,2783.677490,0.000000,7.741,2025-11-22T14:26:01+00:00,,
35,val,2387.696659,2390.035645,4545.349609,2390.035645,4545.349609,0.000000,,2025-11-22T14:26:01+00:00,2387.696659,2390.035645
36,train,1614.932115,1614.983276,2761.906006,1614.983276,2761.906006,0.000000,7.728,2025-11-22T14:26:09+00:00,,
36,val,2399.696504,2403.098877,4594.549316,2403.098877,4594.549316,0.000000,,2025-11-22T14:26:09+00:00,2399.696504,2403.098877
37,train,1582.287290,1582.895874,2712.767822,1582.895874,2712.767822,0.000000,7.715,2025-11-22T14:26:17+00:00,,
37,val,2475.845592,2478.124512,4631.487305,2478.124512,4631.487305,0.000000,,2025-11-22T14:26:17+00:00,2475.845592,2478.124512
38,train,1588.584405,1589.256348,2706.196045,1589.256348,2706.196045,0.000000,7.686,2025-11-22T14:26:25+00:00,,
38,val,2378.745391,2381.396240,4532.951172,2381.396240,4532.951172,0.000000,,2025-11-22T14:26:25+00:00,2378.745391,2381.396240
39,train,1561.970141,1562.092041,2678.356689,1562.092041,2678.356689,0.000000,7.730,2025-11-22T14:26:32+00:00,,
39,val,2381.244370,2384.576416,4534.581543,2384.576416,4534.581543,0.000000,,2025-11-22T14:26:32+00:00,2381.244370,2384.576416
40,train,1546.877224,1547.356934,2631.147217,1547.356934,2631.147217,0.000000,7.745,2025-11-22T14:26:40+00:00,,
40,val,2395.842500,2397.613281,4532.792480,2397.613281,4532.792480,0.000000,,2025-11-22T14:26:40+00:00,2395.842500,2397.613281
41,train,1541.820850,1542.342407,2616.739746,1542.342407,2616.739746,0.000000,7.786,2025-11-22T14:26:48+00:00,,
41,val,2393.705811,2396.716309,4533.779297,2396.716309,4533.779297,0.000000,,2025-11-22T14:26:48+00:00,2393.705811,2396.716309
42,train,1519.771454,1520.295166,2580.473877,1520.295166,2580.473877,0.000000,7.838,2025-11-22T14:26:56+00:00,,
42,val,2391.153601,2394.906982,4510.309082,2394.906982,4510.309082,0.000000,,2025-11-22T14:26:56+00:00,2391.153601,2394.906982
43,train,1520.582658,1521.007080,2573.691650,1521.007080,2573.691650,0.000000,7.754,2025-11-22T14:27:03+00:00,,
43,val,2383.226000,2387.758057,4512.731445,2387.758057,4512.731445,0.000000,,2025-11-22T14:27:03+00:00,2383.226000,2387.758057
44,train,1503.036479,1503.534912,2560.842529,1503.534912,2560.842529,0.000000,7.762,2025-11-22T14:27:11+00:00,,
44,val,2388.362024,2390.551270,4515.322266,2390.551270,4515.322266,0.000000,,2025-11-22T14:27:11+00:00,2388.362024,2390.551270
45,train,1494.184469,1494.328369,2530.184814,1494.328369,2530.184814,0.000000,7.771,2025-11-22T14:27:19+00:00,,
45,val,2422.882761,2426.041016,4550.955566,2426.041016,4550.955566,0.000000,,2025-11-22T14:27:19+00:00,2422.882761,2426.041016
46,train,1499.223754,1499.697510,2530.514648,1499.697510,2530.514648,0.000000,7.720,2025-11-22T14:27:27+00:00,,
46,val,2384.252027,2387.566895,4501.080078,2387.566895,4501.080078,0.000000,,2025-11-22T14:27:27+00:00,2384.252027,2387.566895
47,train,1490.689893,1491.462280,2520.158203,1491.462280,2520.158203,0.000000,7.761,2025-11-22T14:27:34+00:00,,
47,val,2484.675811,2487.588379,4600.741211,2487.588379,4600.741211,0.000000,,2025-11-22T14:27:34+00:00,2484.675811,2487.588379
48,train,1480.803500,1481.210205,2492.512939,1481.210205,2492.512939,0.000000,7.752,2025-11-22T14:27:42+00:00,,
48,val,2365.344497,2370.084229,4518.018555,2370.084229,4518.018555,0.000000,,2025-11-22T14:27:42+00:00,2365.344497,2370.084229
49,train,1463.473211,1464.121338,2466.464600,1464.121338,2466.464600,0.000000,7.793,2025-11-22T14:27:50+00:00,,
49,val,2347.599639,2350.899658,4491.921387,2350.899658,4491.921387,0.000000,,2025-11-22T14:27:50+00:00,2347.599639,2350.899658
50,train,1452.505264,1453.074951,2446.148926,1453.074951,2446.148926,0.000000,7.920,2025-11-22T14:27:58+00:00,,
50,val,2370.134936,2373.735840,4482.445312,2373.735840,4482.445312,0.000000,,2025-11-22T14:27:58+00:00,2370.134936,2373.735840
51,train,1451.820239,1452.461548,2455.342041,1452.461548,2455.342041,0.000000,7.888,2025-11-22T14:28:06+00:00,,
