epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,6891.812493,6895.148926,11416.244141,6895.148926,11416.244141,0.000000,9.719,2025-11-20T16:23:08+00:00,,
1,val,4905.911190,4901.523438,8799.611328,4901.523438,8799.611328,0.000000,,2025-11-20T16:23:08+00:00,4905.911190,4901.523438
2,train,4966.860104,4966.884277,8715.207031,4966.884277,8715.207031,0.000000,9.840,2025-11-20T16:23:18+00:00,,
2,val,4515.819044,4511.793945,8312.226562,4511.793945,8312.226562,0.000000,,2025-11-20T16:23:18+00:00,4515.819044,4511.793945
3,train,4624.217976,4625.309570,8139.298828,4625.309570,8139.298828,0.000000,9.439,2025-11-20T16:23:28+00:00,,
3,val,4245.642883,4240.974609,7712.929199,4240.974609,7712.929199,0.000000,,2025-11-20T16:23:28+00:00,4245.642883,4240.974609
4,train,4354.199523,4354.835938,7684.658691,4354.835938,7684.658691,0.000000,9.597,2025-11-20T16:23:37+00:00,,
4,val,4095.316144,4090.599365,7337.700684,4090.599365,7337.700684,0.000000,,2025-11-20T16:23:37+00:00,4095.316144,4090.599365
5,train,4150.857667,4150.645508,7369.984375,4150.645508,7369.984375,0.000000,9.690,2025-11-20T16:23:47+00:00,,
5,val,3883.686315,3879.660645,7259.645020,3879.660645,7259.645020,0.000000,,2025-11-20T16:23:47+00:00,3883.686315,3879.660645
6,train,4007.845729,4008.059082,7157.258789,4008.059082,7157.258789,0.000000,9.835,2025-11-20T16:23:57+00:00,,
6,val,3749.275807,3745.363281,7011.310059,3745.363281,7011.310059,0.000000,,2025-11-20T16:23:57+00:00,3749.275807,3745.363281
7,train,3894.113201,3895.160645,6984.680176,3895.160645,6984.680176,0.000000,9.601,2025-11-20T16:24:06+00:00,,
7,val,3720.971387,3717.738281,6884.485840,3717.738281,6884.485840,0.000000,,2025-11-20T16:24:06+00:00,3720.971387,3717.738281
8,train,3800.050656,3799.872559,6833.531250,3799.872559,6833.531250,0.000000,9.650,2025-11-20T16:24:16+00:00,,
8,val,3603.400966,3600.166260,6855.441406,3600.166260,6855.441406,0.000000,,2025-11-20T16:24:16+00:00,3603.400966,3600.166260
9,train,3722.776632,3723.109863,6717.680176,3723.109863,6717.680176,0.000000,9.599,2025-11-20T16:24:26+00:00,,
9,val,3565.693576,3562.956055,6769.127441,3562.956055,6769.127441,0.000000,,2025-11-20T16:24:26+00:00,3565.693576,3562.956055
10,train,3663.762848,3663.830811,6612.540039,3663.830811,6612.540039,0.000000,9.559,2025-11-20T16:24:35+00:00,,
10,val,3515.218443,3512.707031,6690.891113,3512.707031,6690.891113,0.000000,,2025-11-20T16:24:35+00:00,3515.218443,3512.707031
11,train,3593.664148,3593.375732,6516.333496,3593.375732,6516.333496,0.000000,9.431,2025-11-20T16:24:45+00:00,,
11,val,3476.427406,3473.897461,6687.081055,3473.897461,6687.081055,0.000000,,2025-11-20T16:24:45+00:00,3476.427406,3473.897461
12,train,3543.567232,3544.346191,6434.742188,3544.346191,6434.742188,0.000000,9.365,2025-11-20T16:24:54+00:00,,
12,val,3417.408209,3414.928955,6592.707031,3414.928955,6592.707031,0.000000,,2025-11-20T16:24:54+00:00,3417.408209,3414.928955
13,train,3504.404284,3503.530762,6363.873535,3503.530762,6363.873535,0.000000,9.569,2025-11-20T16:25:04+00:00,,
13,val,3427.901690,3425.267822,6563.650391,3425.267822,6563.650391,0.000000,,2025-11-20T16:25:04+00:00,3427.901690,3425.267822
14,train,3465.291118,3465.218994,6307.666016,3465.218994,6307.666016,0.000000,9.446,2025-11-20T16:25:13+00:00,,
14,val,3392.906814,3390.355957,6554.502441,3390.355957,6554.502441,0.000000,,2025-11-20T16:25:13+00:00,3392.906814,3390.355957
15,train,3423.878561,3422.613281,6244.712891,3422.613281,6244.712891,0.000000,9.736,2025-11-20T16:25:23+00:00,,
15,val,3433.905056,3431.472168,6572.412598,3431.472168,6572.412598,0.000000,,2025-11-20T16:25:23+00:00,3433.905056,3431.472168
16,train,3386.012117,3387.204590,6180.747070,3387.204590,6180.747070,0.000000,9.630,2025-11-20T16:25:32+00:00,,
16,val,3441.033336,3438.791748,6453.254883,3438.791748,6453.254883,0.000000,,2025-11-20T16:25:32+00:00,3441.033336,3438.791748
17,train,3350.220780,3350.507080,6112.788086,3350.507080,6112.788086,0.000000,9.648,2025-11-20T16:25:42+00:00,,
17,val,3321.478657,3319.170898,6426.290039,3319.170898,6426.290039,0.000000,,2025-11-20T16:25:42+00:00,3321.478657,3319.170898
18,train,3327.821993,3327.900879,6064.012695,3327.900879,6064.012695,0.000000,9.603,2025-11-20T16:25:52+00:00,,
18,val,3422.482337,3420.161865,6398.341797,3420.161865,6398.341797,0.000000,,2025-11-20T16:25:52+00:00,3422.482337,3420.161865
19,train,3294.356093,3293.770508,6011.132812,3293.770508,6011.132812,0.000000,9.646,2025-11-20T16:26:01+00:00,,
19,val,3385.881607,3383.075195,6374.079590,3383.075195,6374.079590,0.000000,,2025-11-20T16:26:01+00:00,3385.881607,3383.075195
20,train,3266.146860,3266.317383,5971.592285,3266.317383,5971.592285,0.000000,9.555,2025-11-20T16:26:11+00:00,,
20,val,3319.577097,3316.680664,6383.209473,3316.680664,6383.209473,0.000000,,2025-11-20T16:26:11+00:00,3319.577097,3316.680664
21,train,3239.543664,3239.240723,5925.783203,3239.240723,5925.783203,0.000000,9.740,2025-11-20T16:26:21+00:00,,
21,val,3321.771261,3319.408203,6328.040039,3319.408203,6328.040039,0.000000,,2025-11-20T16:26:21+00:00,3321.771261,3319.408203
22,train,3215.862045,3215.097168,5890.018066,3215.097168,5890.018066,0.000000,9.599,2025-11-20T16:26:30+00:00,,
22,val,3323.129798,3320.272705,6312.811523,3320.272705,6312.811523,0.000000,,2025-11-20T16:26:30+00:00,3323.129798,3320.272705
