epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18659.182794,18659.214844,23219.275391,18659.214844,23219.275391,0.000000,8.278,2025-11-22T14:46:17+00:00,,
1,val,18559.440104,18574.929688,23174.660156,18574.929688,23174.660156,0.000000,,2025-11-22T14:46:17+00:00,18559.440104,18574.929688
2,train,18471.260531,18472.109375,23066.953125,18472.109375,23066.953125,0.000000,7.552,2025-11-22T14:46:25+00:00,,
2,val,18303.381214,18318.835938,22963.623047,18318.835938,22963.623047,0.000000,,2025-11-22T14:46:25+00:00,18303.381214,18318.835938
3,train,18154.110881,18155.242188,22809.123047,18155.242188,22809.123047,0.000000,7.507,2025-11-22T14:46:32+00:00,,
3,val,17930.701231,17946.230469,22661.867188,17946.230469,22661.867188,0.000000,,2025-11-22T14:46:32+00:00,17930.701231,17946.230469
4,train,17749.779052,17750.019531,22478.210938,17750.019531,22478.210938,0.000000,7.482,2025-11-22T14:46:40+00:00,,
4,val,17498.603752,17514.173828,22303.804688,17514.173828,22303.804688,0.000000,,2025-11-22T14:46:40+00:00,17498.603752,17514.173828
