epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,539693247.295154,18686.449219,23230.656250,18686.449219,23230.656250,0.000000,7.261,2025-11-22T13:09:02+00:00,,
1,val,537827595.636364,18645.236328,23204.611328,18645.236328,23204.611328,0.000000,,2025-11-22T13:09:02+00:00,537827595.636364,18645.236328
2,train,535095184.634361,18619.488281,23132.347656,18619.488281,23132.347656,0.000000,6.609,2025-11-22T13:09:08+00:00,,
2,val,531388769.939394,18548.099609,23065.320312,18548.099609,23065.320312,0.000000,,2025-11-22T13:09:08+00:00,531388769.939394,18548.099609
3,train,526882678.132159,18494.291016,22955.248047,18494.291016,22955.248047,0.000000,6.621,2025-11-22T13:09:15+00:00,,
3,val,521055947.636364,18386.966797,22839.753906,18386.966797,22839.753906,0.000000,,2025-11-22T13:09:15+00:00,521055947.636364,18386.966797
4,train,515315033.374449,18311.746094,22701.033203,18311.746094,22701.033203,0.000000,6.592,2025-11-22T13:09:22+00:00,,
4,val,508579221.333333,18188.736328,22564.746094,18188.736328,22564.746094,0.000000,,2025-11-22T13:09:22+00:00,508579221.333333,18188.736328
5,train,500712789.709251,18076.734375,22375.763672,18076.734375,22375.763672,0.000000,6.715,2025-11-22T13:09:28+00:00,,
5,val,493224157.090909,17944.517578,22221.392578,17944.517578,22221.392578,0.000000,,2025-11-22T13:09:28+00:00,493224157.090909,17944.517578
6,train,483266841.515419,17792.265625,21985.490234,17792.265625,21985.490234,0.000000,6.805,2025-11-22T13:09:35+00:00,,
6,val,475431938.909091,17645.583984,21816.845703,17645.583984,21816.845703,0.000000,,2025-11-22T13:09:35+00:00,475431938.909091,17645.583984
7,train,463783455.577093,17462.673828,21535.826172,17462.673828,21535.826172,0.000000,6.700,2025-11-22T13:09:42+00:00,,
7,val,452392698.181818,17239.310547,21281.976562,17239.310547,21281.976562,0.000000,,2025-11-22T13:09:42+00:00,452392698.181818,17239.310547
8,train,442353987.524229,17091.541016,21032.955078,17091.541016,21032.955078,0.000000,6.784,2025-11-22T13:09:49+00:00,,
8,val,431468148.363636,16874.976562,20783.896484,16874.976562,20783.896484,0.000000,,2025-11-22T13:09:49+00:00,431468148.363636,16874.976562
9,train,419427102.026432,16683.121094,20481.835938,16683.121094,20481.835938,0.000000,6.709,2025-11-22T13:09:55+00:00,,
9,val,408057277.090909,16443.343750,20212.224609,16443.343750,20212.224609,0.000000,,2025-11-22T13:09:55+00:00,408057277.090909,16443.343750
10,train,395434799.224670,16240.043945,19887.025391,16240.043945,19887.025391,0.000000,6.653,2025-11-22T13:10:02+00:00,,
10,val,383900512.969697,15986.824219,19604.146484,15986.824219,19604.146484,0.000000,,2025-11-22T13:10:02+00:00,383900512.969697,15986.824219
11,train,370629147.066079,15764.021484,19251.281250,15764.021484,19251.281250,0.000000,6.860,2025-11-22T13:10:09+00:00,,
11,val,359690925.575758,15509.802734,18976.687500,15509.802734,18976.687500,0.000000,,2025-11-22T13:10:09+00:00,359690925.575758,15509.802734
12,train,345222428.193833,15259.388672,18582.136719,15259.388672,18582.136719,0.000000,6.786,2025-11-22T13:10:16+00:00,,
12,val,337443347.393939,15058.558594,18380.015625,15058.558594,18380.015625,0.000000,,2025-11-22T13:10:16+00:00,337443347.393939,15058.558594
13,train,319730060.405286,14733.061523,17882.765625,14733.061523,17882.765625,0.000000,6.702,2025-11-22T13:10:22+00:00,,
13,val,310052914.424242,14493.046875,17617.662109,14493.046875,17617.662109,0.000000,,2025-11-22T13:10:22+00:00,310052914.424242,14493.046875
14,train,294187551.788546,14178.556641,17154.509766,14178.556641,17154.509766,0.000000,6.647,2025-11-22T13:10:29+00:00,,
14,val,285941987.878788,13952.154297,16919.455078,13952.154297,16919.455078,0.000000,,2025-11-22T13:10:29+00:00,285941987.878788,13952.154297
15,train,269100961.691630,13607.647461,16406.003906,13607.647461,16406.003906,0.000000,6.770,2025-11-22T13:10:36+00:00,,
15,val,262651166.545455,13402.554688,16215.018555,13402.554688,16215.018555,0.000000,,2025-11-22T13:10:36+00:00,262651166.545455,13402.554688
16,train,244505191.259912,13013.528320,15634.935547,13013.528320,15634.935547,0.000000,6.931,2025-11-22T13:10:43+00:00,,
16,val,236311392.484848,12737.456055,15381.834961,12737.456055,15381.834961,0.000000,,2025-11-22T13:10:43+00:00,236311392.484848,12737.456055
17,train,220384626.889868,12404.260742,14846.577148,12404.260742,14846.577148,0.000000,6.902,2025-11-22T13:10:50+00:00,,
17,val,218088209.454545,12277.697266,14775.290039,12277.697266,14775.290039,0.000000,,2025-11-22T13:10:50+00:00,218088209.454545,12277.697266
18,train,197120929.268722,11776.935547,14042.745117,11776.935547,14042.745117,0.000000,6.666,2025-11-22T13:10:56+00:00,,
18,val,190922210.909091,11498.705078,13823.991211,11498.705078,13823.991211,0.000000,,2025-11-22T13:10:56+00:00,190922210.909091,11498.705078
19,train,175054365.180617,11140.772461,13231.705078,11140.772461,13231.705078,0.000000,6.734,2025-11-22T13:11:03+00:00,,
19,val,176877461.333333,11082.287109,13305.186523,11082.287109,13305.186523,0.000000,,2025-11-22T13:11:03+00:00,176877461.333333,11082.287109
20,train,154239927.436123,10492.899414,12418.050781,10492.899414,12418.050781,0.000000,6.764,2025-11-22T13:11:10+00:00,,
20,val,156019379.878788,10423.925781,12496.945312,10423.925781,12496.945312,0.000000,,2025-11-22T13:11:10+00:00,156019379.878788,10423.925781
21,train,134488764.969163,9834.469727,11597.460938,9834.469727,11597.460938,0.000000,6.825,2025-11-22T13:11:17+00:00,,
21,val,141717457.454545,9924.170898,11910.836914,9924.170898,11910.836914,0.000000,,2025-11-22T13:11:17+00:00,141717457.454545,9924.170898
22,train,116308140.722467,9172.649414,10782.936523,9172.649414,10782.936523,0.000000,6.733,2025-11-22T13:11:23+00:00,,
22,val,116840571.151515,9032.400391,10815.090820,9032.400391,10815.090820,0.000000,,2025-11-22T13:11:23+00:00,116840571.151515,9032.400391
23,train,99519572.581498,8509.643555,9977.075195,8509.643555,9977.075195,0.000000,6.791,2025-11-22T13:11:30+00:00,,
23,val,101302638.303030,8434.629883,10071.090820,8434.629883,10071.090820,0.000000,,2025-11-22T13:11:30+00:00,101302638.303030,8434.629883
24,train,84370138.907489,7848.367188,9185.679688,7848.367188,9185.679688,0.000000,6.784,2025-11-22T13:11:37+00:00,,
24,val,83956304.484848,7568.162598,9167.996094,7568.162598,9167.996094,0.000000,,2025-11-22T13:11:37+00:00,83956304.484848,7568.162598
25,train,70792133.621145,7191.835938,8414.313477,7191.835938,8414.313477,0.000000,6.880,2025-11-22T13:11:44+00:00,,
25,val,78657991.757576,7283.155273,8875.028320,7283.155273,8875.028320,0.000000,,2025-11-22T13:11:44+00:00,78657991.757576,7283.155273
26,train,58955293.691630,6548.888672,7679.489746,6548.888672,7679.489746,0.000000,6.852,2025-11-22T13:11:51+00:00,,
26,val,65308508.727273,6576.323242,8084.382812,6576.323242,8084.382812,0.000000,,2025-11-22T13:11:51+00:00,65308508.727273,6576.323242
27,train,48462911.286344,5918.572754,6963.683105,5918.572754,6963.683105,0.000000,6.691,2025-11-22T13:11:57+00:00,,
27,val,57233267.272727,6088.028320,7569.812012,6088.028320,7569.812012,0.000000,,2025-11-22T13:11:57+00:00,57233267.272727,6088.028320
28,train,39764741.964758,5315.671875,6307.086426,5315.671875,6307.086426,0.000000,6.637,2025-11-22T13:12:04+00:00,,
28,val,48895822.060606,5479.801270,6993.207520,5479.801270,6993.207520,0.000000,,2025-11-22T13:12:04+00:00,48895822.060606,5479.801270
29,train,32398448.255507,4744.520996,5692.239746,4744.520996,5692.239746,0.000000,6.721,2025-11-22T13:12:11+00:00,,
29,val,43291745.818182,5094.322266,6579.828125,5094.322266,6579.828125,0.000000,,2025-11-22T13:12:11+00:00,43291745.818182,5094.322266
30,train,26602349.718062,4220.747559,5156.204102,4220.747559,5156.204102,0.000000,6.725,2025-11-22T13:12:17+00:00,,
30,val,36242696.969697,4461.998047,6024.081543,4461.998047,6024.081543,0.000000,,2025-11-22T13:12:17+00:00,36242696.969697,4461.998047
31,train,21871026.440529,3744.828857,4677.831055,3744.828857,4677.831055,0.000000,6.677,2025-11-22T13:12:24+00:00,,
31,val,33773449.333333,4211.969238,5816.810059,4211.969238,5816.810059,0.000000,,2025-11-22T13:12:24+00:00,33773449.333333,4211.969238
32,train,18255402.594714,3330.059326,4273.337402,3330.059326,4273.337402,0.000000,6.721,2025-11-22T13:12:31+00:00,,
32,val,29626984.969697,3792.493408,5448.985352,3792.493408,5448.985352,0.000000,,2025-11-22T13:12:31+00:00,29626984.969697,3792.493408
33,train,15481626.361233,2982.112549,3935.141113,2982.112549,3935.141113,0.000000,6.656,2025-11-22T13:12:38+00:00,,
33,val,26850510.121212,3417.160156,5184.374512,3417.160156,5184.374512,0.000000,,2025-11-22T13:12:38+00:00,26850510.121212,3417.160156
34,train,13346086.427313,2701.224854,3653.739746,2701.224854,3653.739746,0.000000,6.802,2025-11-22T13:12:44+00:00,,
34,val,26687557.696970,3375.613037,5169.691406,3375.613037,5169.691406,0.000000,,2025-11-22T13:12:44+00:00,26687557.696970,3375.613037
35,train,11308460.266520,2427.657471,3363.530029,2427.657471,3363.530029,0.000000,6.741,2025-11-22T13:12:51+00:00,,
35,val,24251631.696970,3088.727539,4930.429199,3088.727539,4930.429199,0.000000,,2025-11-22T13:12:51+00:00,24251631.696970,3088.727539
36,train,9456784.669604,2174.378662,3072.637207,2174.378662,3072.637207,0.000000,6.789,2025-11-22T13:12:58+00:00,,
36,val,22966986.848485,2875.091064,4794.995605,2875.091064,4794.995605,0.000000,,2025-11-22T13:12:58+00:00,22966986.848485,2875.091064
37,train,8323908.596916,2000.809570,2885.058350,2000.809570,2885.058350,0.000000,6.752,2025-11-22T13:13:05+00:00,,
37,val,21376642.787879,2627.964355,4629.903320,2627.964355,4629.903320,0.000000,,2025-11-22T13:13:05+00:00,21376642.787879,2627.964355
38,train,7615956.711454,1891.910156,2758.807129,1891.910156,2758.807129,0.000000,6.783,2025-11-22T13:13:11+00:00,,
38,val,22481190.242424,2812.219482,4747.624512,2812.219482,4747.624512,0.000000,,2025-11-22T13:13:11+00:00,22481190.242424,2812.219482
39,train,7093890.784141,1820.371216,2663.724609,1820.371216,2663.724609,0.000000,6.781,2025-11-22T13:13:18+00:00,,
39,val,21253011.000000,2603.165771,4617.566895,2603.165771,4617.566895,0.000000,,2025-11-22T13:13:18+00:00,21253011.000000,2603.165771
40,train,6993015.667401,1791.174072,2644.856689,1791.174072,2644.856689,0.000000,6.785,2025-11-22T13:13:25+00:00,,
40,val,20612719.272727,2520.601562,4543.670898,2520.601562,4543.670898,0.000000,,2025-11-22T13:13:25+00:00,20612719.272727,2520.601562
41,train,6686990.671806,1758.885376,2586.074707,1758.885376,2586.074707,0.000000,6.844,2025-11-22T13:13:32+00:00,,
41,val,21411694.909091,2592.721191,4629.404297,2592.721191,4629.404297,0.000000,,2025-11-22T13:13:32+00:00,21411694.909091,2592.721191
42,train,6555418.451542,1732.430420,2560.426025,1732.430420,2560.426025,0.000000,6.711,2025-11-22T13:13:39+00:00,,
42,val,21139383.272727,2563.849609,4602.131348,2563.849609,4602.131348,0.000000,,2025-11-22T13:13:39+00:00,21139383.272727,2563.849609
43,train,6501206.303965,1727.621582,2549.956055,1727.621582,2549.956055,0.000000,6.755,2025-11-22T13:13:45+00:00,,
43,val,21067727.515152,2580.690918,4596.263672,2580.690918,4596.263672,0.000000,,2025-11-22T13:13:45+00:00,21067727.515152,2580.690918
44,train,6356010.127753,1710.653687,2520.717285,1710.653687,2520.717285,0.000000,6.847,2025-11-22T13:13:52+00:00,,
44,val,20752455.606061,2506.938721,4561.039551,2506.938721,4561.039551,0.000000,,2025-11-22T13:13:52+00:00,20752455.606061,2506.938721
45,train,6340482.182819,1704.512817,2517.704346,1704.512817,2517.704346,0.000000,6.783,2025-11-22T13:13:59+00:00,,
45,val,20694688.303030,2496.678955,4556.129395,2496.678955,4556.129395,0.000000,,2025-11-22T13:13:59+00:00,20694688.303030,2496.678955
46,train,6107021.799559,1677.715210,2471.355713,1677.715210,2471.355713,0.000000,6.726,2025-11-22T13:14:06+00:00,,
46,val,21334338.787879,2572.318848,4625.958496,2572.318848,4625.958496,0.000000,,2025-11-22T13:14:06+00:00,21334338.787879,2572.318848
47,train,6091704.752203,1674.412109,2467.277100,1674.412109,2467.277100,0.000000,6.676,2025-11-22T13:14:12+00:00,,
47,val,20819313.787879,2512.543213,4567.436035,2512.543213,4567.436035,0.000000,,2025-11-22T13:14:12+00:00,20819313.787879,2512.543213
48,train,5926977.046256,1660.817017,2434.698975,1660.817017,2434.698975,0.000000,6.703,2025-11-22T13:14:19+00:00,,
48,val,20565105.121212,2484.910889,4539.226562,2484.910889,4539.226562,0.000000,,2025-11-22T13:14:19+00:00,20565105.121212,2484.910889
49,train,5925417.381057,1650.590820,2434.266846,1650.590820,2434.266846,0.000000,6.701,2025-11-22T13:14:26+00:00,,
49,val,21063454.242424,2562.869873,4596.304688,2562.869873,4596.304688,0.000000,,2025-11-22T13:14:26+00:00,21063454.242424,2562.869873
50,train,5871295.774229,1646.307739,2422.533691,1646.307739,2422.533691,0.000000,6.707,2025-11-22T13:14:32+00:00,,
50,val,20848556.212121,2543.810791,4570.851074,2543.810791,4570.851074,0.000000,,2025-11-22T13:14:32+00:00,20848556.212121,2543.810791
51,train,5828643.522026,1638.822388,2414.109375,1638.822388,2414.109375,0.000000,6.692,2025-11-22T13:14:39+00:00,,
51,val,20700098.303030,2491.950684,4557.095703,2491.950684,4557.095703,0.000000,,2025-11-22T13:14:39+00:00,20700098.303030,2491.950684
52,train,5837638.980176,1635.545776,2416.148438,1635.545776,2416.148438,0.000000,6.707,2025-11-22T13:14:46+00:00,,
52,val,20625812.393939,2489.404785,4546.137207,2489.404785,4546.137207,0.000000,,2025-11-22T13:14:46+00:00,20625812.393939,2489.404785
53,train,5800320.046256,1633.765625,2408.095215,1633.765625,2408.095215,0.000000,6.718,2025-11-22T13:14:53+00:00,,
53,val,20615876.606061,2492.279053,4546.087891,2492.279053,4546.087891,0.000000,,2025-11-22T13:14:53+00:00,20615876.606061,2492.279053
54,train,5701934.181718,1617.741089,2387.912598,1617.741089,2387.912598,0.000000,6.766,2025-11-22T13:14:59+00:00,,
54,val,20819688.181818,2485.126465,4569.061035,2485.126465,4569.061035,0.000000,,2025-11-22T13:14:59+00:00,20819688.181818,2485.126465
55,train,5537245.458150,1603.171997,2353.385254,1603.171997,2353.385254,0.000000,6.779,2025-11-22T13:15:06+00:00,,
55,val,20768596.909091,2505.966797,4563.521484,2505.966797,4563.521484,0.000000,,2025-11-22T13:15:06+00:00,20768596.909091,2505.966797
56,train,5604687.884361,1606.008301,2367.838379,1606.008301,2367.838379,0.000000,6.704,2025-11-22T13:15:13+00:00,,
