epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18645.940107,18645.953125,23209.187500,18645.953125,23209.187500,0.000000,8.330,2025-11-22T14:51:04+00:00,,
1,val,18519.116655,18534.572266,23138.906250,18534.572266,23138.906250,0.000000,,2025-11-22T14:51:04+00:00,18519.116655,18534.572266
2,train,18413.939858,18415.294922,23022.035156,18415.294922,23022.035156,0.000000,7.642,2025-11-22T14:51:11+00:00,,
2,val,18200.563033,18216.074219,22877.740234,18216.074219,22877.740234,0.000000,,2025-11-22T14:51:11+00:00,18200.563033,18216.074219
3,train,18031.434230,18032.119141,22707.916016,18032.119141,22707.916016,0.000000,7.650,2025-11-22T14:51:19+00:00,,
3,val,17772.400509,17788.111328,22525.673828,17788.111328,22525.673828,0.000000,,2025-11-22T14:51:19+00:00,17772.400509,17788.111328
4,train,17525.478812,17526.027344,22291.802734,17526.027344,22291.802734,0.000000,7.596,2025-11-22T14:51:27+00:00,,
4,val,17217.765270,17233.943359,22073.710938,17233.943359,22073.710938,0.000000,,2025-11-22T14:51:27+00:00,17217.765270,17233.943359
5,train,16921.859921,16923.275391,21795.015625,16923.275391,21795.015625,0.000000,7.702,2025-11-22T14:51:34+00:00,,
5,val,16566.436819,16582.769531,21531.550781,16582.769531,21531.550781,0.000000,,2025-11-22T14:51:34+00:00,16566.436819,16582.769531
6,train,16247.182901,16247.585938,21224.058594,16247.585938,21224.058594,0.000000,7.732,2025-11-22T14:51:42+00:00,,
6,val,15846.458659,15863.207031,20904.562500,15863.207031,20904.562500,0.000000,,2025-11-22T14:51:42+00:00,15846.458659,15863.207031
7,train,15532.403918,15533.094727,20600.212891,15533.094727,20600.212891,0.000000,7.729,2025-11-22T14:51:50+00:00,,
7,val,15088.229877,15104.780273,20236.699219,15104.780273,20236.699219,0.000000,,2025-11-22T14:51:50+00:00,15088.229877,15104.780273
8,train,14789.571590,14790.372070,19925.916016,14790.372070,19925.916016,0.000000,7.686,2025-11-22T14:51:58+00:00,,
8,val,14414.720141,14431.668945,19630.931641,14431.668945,19630.931641,0.000000,,2025-11-22T14:51:58+00:00,14414.720141,14431.668945
