epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18624.756703,18625.220703,23191.160156,18625.220703,23191.160156,0.000000,8.324,2025-11-22T15:38:58+00:00,,
1,val,18427.511541,18442.523438,23064.927734,18442.523438,23064.927734,0.000000,,2025-11-22T15:38:58+00:00,18427.511541,18442.523438
2,train,18187.474360,18187.031250,22830.679688,18187.031250,22830.679688,0.000000,7.607,2025-11-22T15:39:06+00:00,,
2,val,17795.387074,17810.535156,22550.976562,17810.535156,22550.976562,0.000000,,2025-11-22T15:39:06+00:00,17795.387074,17810.535156
3,train,17312.948599,17313.019531,22113.888672,17313.019531,22113.888672,0.000000,7.655,2025-11-22T15:39:13+00:00,,
3,val,16717.810340,16733.201172,21643.699219,16733.201172,21643.699219,0.000000,,2025-11-22T15:39:13+00:00,16717.810340,16733.201172
4,train,16042.862761,16043.417969,21036.958984,16043.417969,21036.958984,0.000000,7.744,2025-11-22T15:39:21+00:00,,
4,val,15274.455611,15289.317383,20360.169922,15289.317383,20360.169922,0.000000,,2025-11-22T15:39:21+00:00,15274.455611,15289.317383
5,train,14423.400967,14425.115234,19564.214844,14425.115234,19564.214844,0.000000,7.705,2025-11-22T15:39:29+00:00,,
5,val,13419.494910,13434.080078,18638.033203,13434.080078,18638.033203,0.000000,,2025-11-22T15:39:29+00:00,13419.494910,13434.080078
6,train,12550.518628,12551.322266,17744.173828,12551.322266,17744.173828,0.000000,7.677,2025-11-22T15:39:37+00:00,,
6,val,11378.897727,11391.685547,16536.382812,11391.685547,16536.382812,0.000000,,2025-11-22T15:39:37+00:00,11378.897727,11391.685547
7,train,10401.110283,10402.343750,15367.681641,10402.343750,15367.681641,0.000000,7.751,2025-11-22T15:39:44+00:00,,
7,val,9195.798414,9204.096680,13932.545898,9204.096680,13932.545898,0.000000,,2025-11-22T15:39:44+00:00,9195.798414,9204.096680
8,train,8068.475648,8070.314453,12593.146484,8070.314453,12593.146484,0.000000,7.666,2025-11-22T15:39:52+00:00,,
8,val,6957.799020,6961.706543,11152.065430,6961.706543,11152.065430,0.000000,,2025-11-22T15:39:52+00:00,6957.799020,6961.706543
9,train,5817.763341,5820.550293,9810.092773,5820.550293,9810.092773,0.000000,7.672,2025-11-22T15:40:00+00:00,,
9,val,5013.309452,5016.348145,8578.278320,5016.348145,8578.278320,0.000000,,2025-11-22T15:40:00+00:00,5013.309452,5016.348145
10,train,3876.495455,3877.089844,7101.707520,3877.089844,7101.707520,0.000000,7.704,2025-11-22T15:40:07+00:00,,
10,val,3448.655836,3451.386230,6400.126953,3451.386230,6400.126953,0.000000,,2025-11-22T15:40:07+00:00,3448.655836,3451.386230
11,train,2711.825673,2712.335938,5152.721680,2712.335938,5152.721680,0.000000,7.655,2025-11-22T15:40:15+00:00,,
11,val,2901.541297,2901.033447,5355.833496,2901.033447,5355.833496,0.000000,,2025-11-22T15:40:15+00:00,2901.541297,2901.033447
12,train,2245.158293,2245.444824,4250.830566,2245.444824,4250.830566,0.000000,7.716,2025-11-22T15:40:23+00:00,,
12,val,2698.183002,2697.557373,5077.215820,2697.557373,5077.215820,0.000000,,2025-11-22T15:40:23+00:00,2698.183002,2697.557373
13,train,2001.159447,2000.703369,3775.402344,2000.703369,3775.402344,0.000000,7.720,2025-11-22T15:40:30+00:00,,
13,val,2499.525132,2498.839111,4755.237793,2498.839111,4755.237793,0.000000,,2025-11-22T15:40:30+00:00,2499.525132,2498.839111
14,train,1855.720359,1855.852173,3462.963867,1855.852173,3462.963867,0.000000,7.727,2025-11-22T15:40:38+00:00,,
14,val,2477.288138,2474.889648,4741.487793,2474.889648,4741.487793,0.000000,,2025-11-22T15:40:38+00:00,2477.288138,2474.889648
15,train,1732.153799,1732.235352,3229.379150,1732.235352,3229.379150,0.000000,7.715,2025-11-22T15:40:46+00:00,,
15,val,2416.713749,2417.383789,4637.499512,2417.383789,4637.499512,0.000000,,2025-11-22T15:40:46+00:00,2416.713749,2417.383789
16,train,1652.569234,1652.778198,3072.065918,1652.778198,3072.065918,0.000000,7.827,2025-11-22T15:40:54+00:00,,
16,val,2399.881022,2400.634521,4622.843750,2400.634521,4622.843750,0.000000,,2025-11-22T15:40:54+00:00,2399.881022,2400.634521
17,train,1587.339764,1586.691650,2931.067871,1586.691650,2931.067871,0.000000,7.704,2025-11-22T15:41:01+00:00,,
17,val,2386.734567,2387.601807,4547.401367,2387.601807,4547.401367,0.000000,,2025-11-22T15:41:01+00:00,2386.734567,2387.601807
18,train,1529.754968,1529.626587,2799.361572,1529.626587,2799.361572,0.000000,7.715,2025-11-22T15:41:09+00:00,,
18,val,2352.431552,2352.069824,4487.633789,2352.069824,4487.633789,0.000000,,2025-11-22T15:41:09+00:00,2352.431552,2352.069824
19,train,1478.893634,1478.753418,2712.253662,1478.753418,2712.253662,0.000000,7.685,2025-11-22T15:41:17+00:00,,
19,val,2350.968691,2352.569092,4491.732422,2352.569092,4491.732422,0.000000,,2025-11-22T15:41:17+00:00,2350.968691,2352.569092
20,train,1450.258221,1449.502808,2654.153320,1449.502808,2654.153320,0.000000,7.761,2025-11-22T15:41:25+00:00,,
20,val,2389.157130,2392.468262,4566.822266,2392.468262,4566.822266,0.000000,,2025-11-22T15:41:25+00:00,2389.157130,2392.468262
21,train,1402.581213,1402.636475,2575.008789,1402.636475,2575.008789,0.000000,7.690,2025-11-22T15:41:32+00:00,,
21,val,2369.648874,2369.785400,4538.638672,2369.785400,4538.638672,0.000000,,2025-11-22T15:41:32+00:00,2369.648874,2369.785400
22,train,1375.832292,1375.383667,2505.256592,1375.383667,2505.256592,0.000000,7.725,2025-11-22T15:41:40+00:00,,
22,val,2332.284927,2332.320801,4457.130371,2332.320801,4457.130371,0.000000,,2025-11-22T15:41:40+00:00,2332.284927,2332.320801
23,train,1347.408067,1347.275024,2458.427246,1347.275024,2458.427246,0.000000,7.703,2025-11-22T15:41:48+00:00,,
23,val,2368.311324,2369.964111,4468.023438,2369.964111,4468.023438,0.000000,,2025-11-22T15:41:48+00:00,2368.311324,2369.964111
24,train,1329.003481,1328.884644,2406.975830,1328.884644,2406.975830,0.000000,7.755,2025-11-22T15:41:55+00:00,,
24,val,2309.832053,2312.667236,4417.463867,2312.667236,4417.463867,0.000000,,2025-11-22T15:41:55+00:00,2309.832053,2312.667236
25,train,1307.383533,1307.306519,2368.618164,1307.306519,2368.618164,0.000000,7.683,2025-11-22T15:42:03+00:00,,
25,val,2332.558024,2332.362549,4451.559570,2332.362549,4451.559570,0.000000,,2025-11-22T15:42:03+00:00,2332.558024,2332.362549
26,train,1270.964928,1270.766968,2307.305664,1270.766968,2307.305664,0.000000,7.708,2025-11-22T15:42:11+00:00,,
26,val,2328.499919,2331.577881,4440.372559,2331.577881,4440.372559,0.000000,,2025-11-22T15:42:11+00:00,2328.499919,2331.577881
27,train,1279.710362,1278.867065,2295.370361,1278.867065,2295.370361,0.000000,7.725,2025-11-22T15:42:19+00:00,,
27,val,2320.792614,2322.209229,4439.474121,2322.209229,4439.474121,0.000000,,2025-11-22T15:42:19+00:00,2320.792614,2322.209229
28,train,1250.825064,1250.460449,2267.458252,1250.460449,2267.458252,0.000000,7.688,2025-11-22T15:42:26+00:00,,
28,val,2302.330833,2305.524902,4439.219727,2305.524902,4439.219727,0.000000,,2025-11-22T15:42:26+00:00,2302.330833,2305.524902
29,train,1249.637039,1249.657959,2237.385742,1249.657959,2237.385742,0.000000,7.710,2025-11-22T15:42:34+00:00,,
29,val,2320.925441,2322.828125,4442.880371,2322.828125,4442.880371,0.000000,,2025-11-22T15:42:34+00:00,2320.925441,2322.828125
30,train,1231.946115,1231.018921,2204.722168,1231.018921,2204.722168,0.000000,7.792,2025-11-22T15:42:42+00:00,,
30,val,2336.904252,2339.507324,4452.333496,2339.507324,4452.333496,0.000000,,2025-11-22T15:42:42+00:00,2336.904252,2339.507324
31,train,1211.229963,1211.135254,2164.576660,1211.135254,2164.576660,0.000000,7.573,2025-11-22T15:42:49+00:00,,
31,val,2314.785127,2316.086670,4384.013184,2316.086670,4384.013184,0.000000,,2025-11-22T15:42:49+00:00,2314.785127,2316.086670
32,train,1193.612437,1193.375122,2151.173096,1193.375122,2151.173096,0.000000,7.596,2025-11-22T15:42:57+00:00,,
32,val,2294.316070,2296.352539,4398.347656,2296.352539,4398.347656,0.000000,,2025-11-22T15:42:57+00:00,2294.316070,2296.352539
33,train,1193.909785,1193.930420,2132.531006,1193.930420,2132.531006,0.000000,7.586,2025-11-22T15:43:05+00:00,,
33,val,2288.403735,2289.754639,4425.667480,2289.754639,4425.667480,0.000000,,2025-11-22T15:43:05+00:00,2288.403735,2289.754639
34,train,1181.533217,1181.390625,2108.050293,1181.390625,2108.050293,0.000000,7.567,2025-11-22T15:43:12+00:00,,
34,val,2298.357178,2300.039795,4403.199219,2300.039795,4403.199219,0.000000,,2025-11-22T15:43:12+00:00,2298.357178,2300.039795
35,train,1182.253054,1182.255127,2106.796143,1182.255127,2106.796143,0.000000,7.615,2025-11-22T15:43:20+00:00,,
35,val,2288.322791,2289.286865,4431.791992,2289.286865,4431.791992,0.000000,,2025-11-22T15:43:20+00:00,2288.322791,2289.286865
36,train,1167.879826,1167.917236,2076.493164,1167.917236,2076.493164,0.000000,7.571,2025-11-22T15:43:27+00:00,,
