,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long,posting_date,posting_date_formatted,quarter
4582,montgomery,21990,2017,infiniti,qx50 sport utility 4d,good,6 cylinders,other,37011,clean,automatic,not_available,hatchback,blue,al,32.35,-86.28,2021-04-14 15:31:00,2021-04-14 15:31:47,Y2021Q2
355608,austin,4999,2005,toyota,scion tc,not_available,4 cylinders,gas,138000,clean,automatic,not_available,not_available,not_available,tx,30.4417,-97.6811,2021-05-04 19:12:00,2021-05-04 19:12:48,Y2021Q2
67144,ventura county,8995,2012,nissan,altima,excellent,4 cylinders,gas,115000,clean,automatic,fwd,sedan,blue,ca,34.273013,-119.263491,2021-04-09 19:21:00,2021-04-09 19:21:47,Y2021Q2
320265,salem,166,2017,mazda,mazda6 sport sedan 4d,excellent,4 cylinders,gas,170296,clean,automatic,fwd,sedan,red,or,45.690085,-122.658952,2021-04-18 18:31:00,2021-04-18 18:31:12,Y2021Q2
95995,jacksonville,6900,2013,toyota,corolla,good,4 cylinders,gas,136000,clean,automatic,not_available,not_available,not_available,fl,30.0815,-81.5477,2021-05-03 14:57:00,2021-05-03 14:57:44,Y2021Q2
186943,western massachusetts,1000,2013,toyota,avalon,not_available,6 cylinders,gas,151579,clean,automatic,fwd,not_available,not_available,ma,42.145814,-72.490575,2021-04-13 18:00:00,2021-04-13 18:00:53,Y2021Q2
398299,seattle-tacoma,15995,1995,ford,f-350 chassis cab,excellent,8 cylinders,gas,92000,clean,automatic,4wd,not_available,white,wa,47.353169,-122.22913,2021-05-04 23:30:00,2021-05-04 23:30:41,Y2021Q2
44576,palm springs,65000,1966,chevrolet,nova,excellent,8 cylinders,gas,4000,clean,automatic,not_available,not_available,blue,ca,32.616522,-110.985769,2021-04-06 16:52:00,2021-04-06 16:52:40,Y2021Q2
141361,rockford,399,2018,dodge,challenger gt coupe 2d,not_available,6 cylinders,gas,41299,clean,automatic,not_available,not_available,not_available,il,42.3295,-89.0335,2021-04-29 15:49:00,2021-04-29 15:49:40,Y2021Q2
125623,hawaii,32990,2016,ford,f-150,not_available,8 cylinders,gas,58784,clean,automatic,fwd,pickup,red,hi,21.33539,-157.89922,2021-05-02 01:20:00,2021-05-02 01:20:03,Y2021Q2
129071,boise,19950,2010,ram,1500 laramie 4dr cre,not_available,8 cylinders,gas,122537,clean,automatic,4wd,truck,not_available,id,43.619448,-116.303903,2021-04-30 14:01:00,2021-04-30 14:01:52,Y2021Q2
266639,long island,0,2010,ford,fusion,excellent,4 cylinders,gas,136215,clean,automatic,not_available,sedan,white,ny,40.657083,-73.605395,2021-05-01 11:01:00,2021-05-01 11:01:11,Y2021Q2
