epoch,split,loss,mae,rmse,mae_orig,rmse_orig,nll,elapsed_sec,timestamp,val_loss,objective
1,train,18693.565860,18694.783203,23248.167969,18694.783203,23248.167969,0.000000,7.822,2025-11-22T13:55:32+00:00,,
1,val,18664.201412,18667.837891,23250.281250,18667.837891,23250.281250,0.000000,,2025-11-22T13:55:32+00:00,18664.201412,18667.837891
2,train,18667.855899,18669.945312,23228.072266,18669.945312,23228.072266,0.000000,7.371,2025-11-22T13:55:39+00:00,,
2,val,18630.289303,18633.927734,23223.189453,18633.927734,23223.189453,0.000000,,2025-11-22T13:55:39+00:00,18630.289303,18633.927734
3,train,18628.250774,18628.234375,23194.646484,18628.234375,23194.646484,0.000000,7.417,2025-11-22T13:55:47+00:00,,
3,val,18582.019081,18585.660156,23184.218750,18585.660156,23184.218750,0.000000,,2025-11-22T13:55:47+00:00,18582.019081,18585.660156
4,train,18577.873563,18572.964844,23150.523438,18572.964844,23150.523438,0.000000,7.341,2025-11-22T13:55:54+00:00,,
4,val,18519.986959,18523.630859,23132.935547,18523.630859,23132.935547,0.000000,,2025-11-22T13:55:54+00:00,18519.986959,18523.630859
5,train,18505.397168,18506.441406,23094.191406,18506.441406,23094.191406,0.000000,7.301,2025-11-22T13:56:01+00:00,,
5,val,18451.926563,18455.562500,23074.167969,18455.562500,23074.167969,0.000000,,2025-11-22T13:56:01+00:00,18451.926563,18455.562500
6,train,18428.556718,18431.300781,23031.505859,18431.300781,23031.505859,0.000000,7.369,2025-11-22T13:56:09+00:00,,
6,val,18371.510757,18375.152344,23007.580078,18375.152344,23007.580078,0.000000,,2025-11-22T13:56:09+00:00,18371.510757,18375.152344
7,train,18347.577398,18348.650391,22963.304688,18348.650391,22963.304688,0.000000,7.358,2025-11-22T13:56:16+00:00,,
7,val,18284.836028,18288.472656,22937.066406,18288.472656,22937.066406,0.000000,,2025-11-22T13:56:16+00:00,18284.836028,18288.472656
8,train,18255.199969,18259.691406,22889.794922,18259.691406,22889.794922,0.000000,7.578,2025-11-22T13:56:24+00:00,,
8,val,18191.629657,18195.277344,22861.683594,18195.277344,22861.683594,0.000000,,2025-11-22T13:56:24+00:00,18191.629657,18195.277344
9,train,18163.227328,18163.640625,22811.195312,18163.640625,22811.195312,0.000000,7.362,2025-11-22T13:56:31+00:00,,
9,val,18090.815865,18094.447266,22774.330078,18094.447266,22774.330078,0.000000,,2025-11-22T13:56:31+00:00,18090.815865,18094.447266
10,train,18056.945128,18059.949219,22727.021484,18059.949219,22727.021484,0.000000,7.508,2025-11-22T13:56:38+00:00,,
10,val,17984.034796,17987.667969,22689.693359,17987.667969,22689.693359,0.000000,,2025-11-22T13:56:38+00:00,17984.034796,17987.667969
11,train,17951.426063,17948.777344,22636.896484,17948.777344,22636.896484,0.000000,7.355,2025-11-22T13:56:46+00:00,,
11,val,17879.280619,17882.933594,22608.714844,17882.933594,22608.714844,0.000000,,2025-11-22T13:56:46+00:00,17879.280619,17882.933594
12,train,17825.471280,17829.695312,22539.601562,17829.695312,22539.601562,0.000000,7.282,2025-11-22T13:56:53+00:00,,
12,val,17747.559525,17751.224609,22499.072266,17751.224609,22499.072266,0.000000,,2025-11-22T13:56:53+00:00,17747.559525,17751.224609
13,train,17701.264197,17702.984375,22437.083984,17702.984375,22437.083984,0.000000,7.294,2025-11-22T13:57:00+00:00,,
13,val,17618.486599,17622.164062,22393.466797,17622.164062,22393.466797,0.000000,,2025-11-22T13:57:00+00:00,17618.486599,17622.164062
14,train,17563.528658,17565.857422,22325.328125,17565.857422,22325.328125,0.000000,7.365,2025-11-22T13:57:08+00:00,,
14,val,17479.263942,17482.914062,22274.277344,17482.914062,22274.277344,0.000000,,2025-11-22T13:57:08+00:00,17479.263942,17482.914062
15,train,17419.617052,17420.261719,22206.519531,17420.261719,22206.519531,0.000000,7.397,2025-11-22T13:57:15+00:00,,
15,val,17317.508038,17321.189453,22150.417969,17321.189453,22150.417969,0.000000,,2025-11-22T13:57:15+00:00,17317.508038,17321.189453
16,train,17266.439472,17267.136719,22080.607422,17267.136719,22080.607422,0.000000,7.403,2025-11-22T13:57:23+00:00,,
16,val,17180.856566,17184.513672,22022.904297,17184.513672,22022.904297,0.000000,,2025-11-22T13:57:23+00:00,17180.856566,17184.513672
17,train,17105.054247,17105.218750,21948.716797,17105.218750,21948.716797,0.000000,7.482,2025-11-22T13:57:30+00:00,,
17,val,17011.778906,17015.451172,21895.707031,17015.451172,21895.707031,0.000000,,2025-11-22T13:57:30+00:00,17011.778906,17015.451172
18,train,16930.661823,16934.289062,21808.726562,16934.289062,21808.726562,0.000000,7.445,2025-11-22T13:57:37+00:00,,
18,val,16841.038071,16844.695312,21748.783203,16844.695312,21748.783203,0.000000,,2025-11-22T13:57:37+00:00,16841.038071,16844.695312
19,train,16752.978886,16753.779297,21661.109375,16753.779297,21661.109375,0.000000,7.536,2025-11-22T13:57:45+00:00,,
19,val,16663.317203,16666.949219,21601.599609,16666.949219,21601.599609,0.000000,,2025-11-22T13:57:45+00:00,16663.317203,16666.949219
20,train,16567.293397,16564.369141,21505.171875,16564.369141,21505.171875,0.000000,7.394,2025-11-22T13:57:52+00:00,,
20,val,16480.080198,16483.734375,21442.357422,16483.734375,21442.357422,0.000000,,2025-11-22T13:57:52+00:00,16480.080198,16483.734375
21,train,16366.691434,16364.328125,21341.802734,16364.328125,21341.802734,0.000000,7.408,2025-11-22T13:58:00+00:00,,
21,val,16259.005469,16262.686523,21285.324219,16262.686523,21285.324219,0.000000,,2025-11-22T13:58:00+00:00,16259.005469,16262.686523
22,train,16151.626080,16152.787109,21172.269531,16152.787109,21172.269531,0.000000,7.427,2025-11-22T13:58:07+00:00,,
